Razonamiento;Lectura_critica;Competencias_ciudadanas;Ingles;Resultado
206;182;173;156;Buen Desempeno
151;123;160;170;Buen Desempeno
188;201;221;186;Buen Desempeno
124;148;123;137;Aceptable Desmpeno
124;129;124;151;Aceptable Desmpeno
130;149;110;120;Aceptable Desmpeno
163;176;178;133;Buen Desempeno
87;129;105;141;Aceptable Desmpeno
102;128;158;136;Aceptable Desmpeno
170;175;146;169;Buen Desempeno
174;127;139;183;Buen Desempeno
0;111;156;148;Regular Desempeno
163;184;202;211;Buen Desempeno
130;145;159;132;Aceptable Desmpeno
146;147;141;130;Aceptable Desmpeno
123;171;177;164;Buen Desempeno
174;202;198;124;Buen Desempeno
90;98;96;117;Regular Desempeno
101;149;132;173;Aceptable Desmpeno
158;149;179;201;Buen Desempeno
167;216;188;199;Buen Desempeno
132;146;94;114;Aceptable Desmpeno
166;182;205;200;Buen Desempeno
125;129;108;141;Aceptable Desmpeno
148;124;93;115;Aceptable Desmpeno
108;94;81;125;Regular Desempeno
120;113;127;118;Aceptable Desmpeno
93;129;122;118;Aceptable Desmpeno
113;111;110;126;Aceptable Desmpeno
138;140;103;146;Aceptable Desmpeno
126;112;176;101;Aceptable Desmpeno
148;117;85;79;Regular Desempeno
181;149;175;143;Buen Desempeno
168;199;235;152;Buen Desempeno
157;139;129;146;Aceptable Desmpeno
150;111;112;128;Aceptable Desmpeno
99;141;117;116;Aceptable Desmpeno
121;174;176;153;Buen Desempeno
146;166;134;147;Buen Desempeno
121;124;107;128;Aceptable Desmpeno
120;132;110;100;Aceptable Desmpeno
123;136;133;125;Aceptable Desmpeno
139;171;173;148;Buen Desempeno
155;168;126;137;Aceptable Desmpeno
104;118;102;136;Aceptable Desmpeno
156;132;149;142;Aceptable Desmpeno
100;86;110;112;Regular Desempeno
81;162;105;136;Aceptable Desmpeno
93;142;77;120;Regular Desempeno
205;190;188;150;Buen Desempeno
144;194;169;143;Buen Desempeno
201;187;174;148;Buen Desempeno
130;126;138;110;Aceptable Desmpeno
97;126;159;117;Aceptable Desmpeno
148;187;183;154;Buen Desempeno
79;110;127;137;Aceptable Desmpeno
157;151;150;125;Aceptable Desmpeno
174;159;102;121;Aceptable Desmpeno
149;165;94;133;Aceptable Desmpeno
154;105;143;151;Aceptable Desmpeno
157;189;198;174;Buen Desempeno
103;139;70;109;Regular Desempeno
151;120;167;123;Aceptable Desmpeno
168;171;173;156;Buen Desempeno
122;181;174;175;Buen Desempeno
108;133;141;147;Aceptable Desmpeno
98;155;145;134;Aceptable Desmpeno
152;143;141;136;Aceptable Desmpeno
172;122;106;160;Aceptable Desmpeno
139;148;153;157;Buen Desempeno
120;122;148;94;Aceptable Desmpeno
146;147;121;98;Aceptable Desmpeno
128;132;135;108;Aceptable Desmpeno
101;114;144;91;Aceptable Desmpeno
179;178;194;125;Buen Desempeno
130;167;148;100;Aceptable Desmpeno
133;104;123;143;Aceptable Desmpeno
182;182;174;172;Buen Desempeno
98;78;93;110;Regular Desempeno
115;97;84;122;Regular Desempeno
150;145;90;148;Aceptable Desmpeno
166;162;172;160;Buen Desempeno
147;141;122;126;Aceptable Desmpeno
162;171;171;175;Buen Desempeno
188;166;154;149;Buen Desempeno
108;89;104;101;Regular Desempeno
151;146;114;153;Aceptable Desmpeno
172;179;194;123;Buen Desempeno
152;163;143;179;Buen Desempeno
114;102;145;130;Aceptable Desmpeno
150;125;107;140;Aceptable Desmpeno
135;144;170;156;Buen Desempeno
152;166;173;178;Buen Desempeno
113;141;111;111;Aceptable Desmpeno
137;128;132;114;Aceptable Desmpeno
139;139;161;152;Buen Desempeno
130;180;184;149;Buen Desempeno
135;126;138;145;Aceptable Desmpeno
143;141;93;125;Aceptable Desmpeno
126;127;138;118;Aceptable Desmpeno
142;155;120;166;Aceptable Desmpeno
131;168;158;186;Buen Desempeno
158;116;102;107;Aceptable Desmpeno
139;166;185;144;Buen Desempeno
180;206;188;198;Buen Desempeno
154;146;146;147;Buen Desempeno
100;121;78;121;Regular Desempeno
168;119;147;172;Buen Desempeno
94;78;138;132;Aceptable Desmpeno
159;173;147;140;Buen Desempeno
94;115;119;86;Regular Desempeno
127;94;97;101;Regular Desempeno
142;135;134;110;Aceptable Desmpeno
131;126;129;129;Aceptable Desmpeno
139;125;109;138;Aceptable Desmpeno
195;145;177;169;Buen Desempeno
115;134;151;140;Aceptable Desmpeno
146;147;144;125;Aceptable Desmpeno
121;90;93;90;Regular Desempeno
118;116;132;91;Aceptable Desmpeno
185;181;178;167;Buen Desempeno
145;174;128;117;Aceptable Desmpeno
192;141;152;159;Buen Desempeno
118;164;162;133;Aceptable Desmpeno
153;174;166;147;Buen Desempeno
147;182;173;221;Buen Desempeno
174;169;166;160;Buen Desempeno
183;168;164;203;Buen Desempeno
140;140;104;132;Aceptable Desmpeno
135;179;151;182;Buen Desempeno
170;151;142;163;Buen Desempeno
171;169;154;193;Buen Desempeno
200;161;157;169;Buen Desempeno
149;119;140;155;Aceptable Desmpeno
153;160;158;135;Buen Desempeno
178;192;80;199;Buen Desempeno
154;139;134;165;Buen Desempeno
134;140;168;143;Aceptable Desmpeno
173;188;175;191;Buen Desempeno
112;130;118;153;Aceptable Desmpeno
183;196;104;201;Buen Desempeno
178;174;147;181;Buen Desempeno
166;110;145;155;Aceptable Desmpeno
146;128;155;117;Aceptable Desmpeno
140;158;158;156;Buen Desempeno
183;186;184;194;Buen Desempeno
164;168;148;166;Buen Desempeno
141;127;150;175;Buen Desempeno
141;147;122;171;Aceptable Desmpeno
143;178;90;200;Buen Desempeno
182;196;196;209;Buen Desempeno
126;128;86;139;Aceptable Desmpeno
146;148;158;193;Buen Desempeno
166;141;162;182;Buen Desempeno
130;120;139;168;Aceptable Desmpeno
174;190;170;186;Buen Desempeno
145;162;141;167;Buen Desempeno
126;152;156;149;Aceptable Desmpeno
168;175;124;182;Buen Desempeno
154;165;195;170;Buen Desempeno
184;210;178;197;Buen Desempeno
175;164;161;180;Buen Desempeno
167;192;167;181;Buen Desempeno
163;187;186;186;Buen Desempeno
171;175;185;198;Buen Desempeno
164;184;165;216;Buen Desempeno
165;170;163;196;Buen Desempeno
130;138;127;140;Aceptable Desmpeno
130;148;76;165;Aceptable Desmpeno
159;182;163;199;Buen Desempeno
182;184;191;223;Buen Desempeno
133;177;162;188;Buen Desempeno
127;158;187;161;Buen Desempeno
136;170;170;157;Buen Desempeno
114;174;209;151;Buen Desempeno
189;165;177;176;Buen Desempeno
203;156;136;184;Buen Desempeno
179;141;169;163;Buen Desempeno
227;140;136;153;Buen Desempeno
164;174;112;157;Buen Desempeno
167;176;125;180;Buen Desempeno
183;122;124;171;Buen Desempeno
200;164;170;147;Buen Desempeno
195;168;162;164;Buen Desempeno
191;111;120;159;Aceptable Desmpeno
178;138;156;162;Buen Desempeno
182;105;146;153;Aceptable Desmpeno
197;159;165;227;Buen Desempeno
188;142;135;165;Buen Desempeno
159;177;150;180;Buen Desempeno
185;112;136;178;Buen Desempeno
166;146;111;180;Buen Desempeno
147;103;127;107;Aceptable Desmpeno
160;90;68;164;Aceptable Desmpeno
194;126;104;151;Aceptable Desmpeno
177;148;128;168;Buen Desempeno
212;214;211;174;Buen Desempeno
202;124;156;223;Buen Desempeno
188;199;209;205;Buen Desempeno
163;117;135;139;Aceptable Desmpeno
190;162;169;155;Buen Desempeno
196;216;213;195;Buen Desempeno
156;121;108;146;Aceptable Desmpeno
200;182;189;178;Buen Desempeno
179;164;152;187;Buen Desempeno
153;124;145;161;Aceptable Desmpeno
233;196;187;202;Buen Desempeno
230;202;193;223;Excelente Desempeno
176;133;116;142;Aceptable Desmpeno
219;180;194;164;Buen Desempeno
201;174;181;176;Buen Desempeno
159;145;154;182;Buen Desempeno
144;137;79;178;Aceptable Desmpeno
156;162;149;189;Buen Desempeno
169;167;199;190;Buen Desempeno
211;147;190;178;Buen Desempeno
164;141;138;152;Buen Desempeno
223;172;191;156;Buen Desempeno
180;175;154;168;Buen Desempeno
214;180;173;156;Buen Desempeno
177;181;177;163;Buen Desempeno
180;174;174;163;Buen Desempeno
183;165;163;153;Buen Desempeno
187;159;177;154;Buen Desempeno
202;144;147;149;Buen Desempeno
146;105;131;134;Aceptable Desmpeno
160;191;176;147;Buen Desempeno
164;154;140;144;Buen Desempeno
164;194;208;162;Buen Desempeno
167;164;142;125;Buen Desempeno
152;144;80;139;Aceptable Desmpeno
135;143;139;153;Aceptable Desmpeno
159;166;138;144;Buen Desempeno
157;161;130;167;Buen Desempeno
173;168;169;140;Buen Desempeno
195;175;151;158;Buen Desempeno
179;173;149;160;Buen Desempeno
134;142;120;0;Regular Desempeno
180;188;169;190;Buen Desempeno
124;124;145;131;Aceptable Desmpeno
190;208;200;197;Buen Desempeno
195;168;178;172;Buen Desempeno
179;146;129;159;Buen Desempeno
206;181;108;120;Buen Desempeno
131;102;90;92;Regular Desempeno
106;101;67;93;Regular Desempeno
136;156;168;214;Buen Desempeno
139;151;125;135;Aceptable Desmpeno
156;107;128;158;Aceptable Desmpeno
157;145;134;134;Aceptable Desmpeno
171;158;191;198;Buen Desempeno
160;184;176;160;Buen Desempeno
161;133;147;162;Buen Desempeno
188;164;137;146;Buen Desempeno
99;107;118;135;Aceptable Desmpeno
105;80;144;147;Aceptable Desmpeno
94;97;76;126;Regular Desempeno
148;162;168;160;Buen Desempeno
133;124;104;124;Aceptable Desmpeno
124;149;126;150;Aceptable Desmpeno
164;162;146;187;Buen Desempeno
116;122;98;137;Aceptable Desmpeno
186;147;133;151;Buen Desempeno
148;154;158;146;Buen Desempeno
197;176;138;144;Buen Desempeno
116;113;114;111;Aceptable Desmpeno
146;98;148;150;Aceptable Desmpeno
108;121;113;150;Aceptable Desmpeno
183;143;163;159;Buen Desempeno
165;133;172;134;Buen Desempeno
188;176;160;187;Buen Desempeno
154;193;167;159;Buen Desempeno
131;124;145;133;Aceptable Desmpeno
145;158;120;131;Aceptable Desmpeno
135;158;164;132;Buen Desempeno
168;172;176;176;Buen Desempeno
171;224;193;176;Buen Desempeno
161;185;163;180;Buen Desempeno
176;167;150;143;Buen Desempeno
134;129;170;164;Buen Desempeno
177;172;166;133;Buen Desempeno
92;153;149;120;Aceptable Desmpeno
180;156;143;147;Buen Desempeno
195;153;169;168;Buen Desempeno
169;140;148;148;Buen Desempeno
141;144;111;147;Aceptable Desmpeno
165;180;137;183;Buen Desempeno
153;148;165;157;Buen Desempeno
122;157;155;173;Buen Desempeno
169;124;94;99;Aceptable Desmpeno
111;173;122;152;Aceptable Desmpeno
157;181;175;180;Buen Desempeno
153;130;126;148;Aceptable Desmpeno
145;133;142;134;Aceptable Desmpeno
169;144;105;150;Aceptable Desmpeno
143;151;151;173;Buen Desempeno
164;158;141;213;Buen Desempeno
161;166;172;175;Buen Desempeno
130;147;145;150;Aceptable Desmpeno
149;175;169;146;Buen Desempeno
164;141;159;139;Buen Desempeno
139;114;97;139;Aceptable Desmpeno
184;123;165;141;Buen Desempeno
172;161;130;148;Buen Desempeno
175;193;150;161;Buen Desempeno
131;122;132;153;Aceptable Desmpeno
178;113;155;168;Buen Desempeno
180;151;147;185;Buen Desempeno
121;114;159;151;Aceptable Desmpeno
126;144;133;152;Aceptable Desmpeno
153;119;137;158;Aceptable Desmpeno
170;183;177;162;Buen Desempeno
114;116;99;136;Aceptable Desmpeno
201;174;168;178;Buen Desempeno
164;193;157;104;Buen Desempeno
183;147;160;153;Buen Desempeno
167;108;111;130;Aceptable Desmpeno
155;170;135;110;Aceptable Desmpeno
141;127;130;159;Aceptable Desmpeno
162;165;167;151;Buen Desempeno
189;73;136;164;Aceptable Desmpeno
168;179;143;159;Buen Desempeno
172;179;210;178;Buen Desempeno
134;188;181;176;Buen Desempeno
140;136;130;88;Aceptable Desmpeno
183;167;160;169;Buen Desempeno
151;156;122;129;Aceptable Desmpeno
175;164;156;158;Buen Desempeno
125;120;132;139;Aceptable Desmpeno
149;148;150;161;Buen Desempeno
183;157;155;156;Buen Desempeno
187;184;154;159;Buen Desempeno
150;148;160;176;Buen Desempeno
167;74;152;169;Aceptable Desmpeno
174;158;186;151;Buen Desempeno
159;190;165;167;Buen Desempeno
147;164;129;136;Aceptable Desmpeno
138;131;120;123;Aceptable Desmpeno
183;167;196;188;Buen Desempeno
199;195;175;172;Buen Desempeno
196;188;189;157;Buen Desempeno
142;103;108;160;Aceptable Desmpeno
157;177;146;145;Buen Desempeno
156;138;122;134;Aceptable Desmpeno
162;176;148;108;Buen Desempeno
200;169;172;196;Buen Desempeno
173;161;177;148;Buen Desempeno
197;166;194;176;Buen Desempeno
161;169;156;147;Buen Desempeno
130;135;118;150;Aceptable Desmpeno
111;120;138;157;Aceptable Desmpeno
138;206;174;166;Buen Desempeno
113;154;149;146;Aceptable Desmpeno
154;188;183;178;Buen Desempeno
163;194;202;0;Aceptable Desmpeno
93;159;91;105;Aceptable Desmpeno
133;145;150;151;Aceptable Desmpeno
157;153;172;145;Buen Desempeno
201;203;228;201;Buen Desempeno
161;177;115;149;Buen Desempeno
153;149;169;152;Buen Desempeno
146;94;98;128;Aceptable Desmpeno
152;174;125;148;Buen Desempeno
124;169;91;151;Aceptable Desmpeno
180;136;166;119;Buen Desempeno
163;152;172;144;Buen Desempeno
133;139;145;145;Aceptable Desmpeno
126;135;125;127;Aceptable Desmpeno
122;124;108;190;Aceptable Desmpeno
132;168;143;137;Aceptable Desmpeno
151;161;161;160;Buen Desempeno
187;184;188;164;Buen Desempeno
159;180;182;201;Buen Desempeno
199;178;118;197;Buen Desempeno
199;200;187;175;Buen Desempeno
209;194;178;187;Buen Desempeno
130;156;147;118;Aceptable Desmpeno
153;152;94;142;Aceptable Desmpeno
213;187;190;183;Buen Desempeno
161;195;163;126;Buen Desempeno
194;158;144;142;Buen Desempeno
162;143;149;202;Buen Desempeno
157;157;105;132;Aceptable Desmpeno
174;159;171;173;Buen Desempeno
192;193;173;171;Buen Desempeno
120;133;114;149;Aceptable Desmpeno
222;191;207;211;Buen Desempeno
184;178;124;184;Buen Desempeno
155;149;112;131;Aceptable Desmpeno
171;155;152;172;Buen Desempeno
198;200;184;215;Buen Desempeno
166;133;110;98;Aceptable Desmpeno
194;116;159;154;Buen Desempeno
210;213;206;194;Buen Desempeno
168;170;182;163;Buen Desempeno
144;99;86;89;Regular Desempeno
162;158;162;164;Buen Desempeno
167;205;140;146;Buen Desempeno
192;172;166;186;Buen Desempeno
161;135;121;181;Buen Desempeno
185;160;179;197;Buen Desempeno
218;193;167;173;Buen Desempeno
147;154;108;100;Aceptable Desmpeno
207;174;181;196;Buen Desempeno
195;166;181;185;Buen Desempeno
190;157;171;142;Buen Desempeno
157;101;132;163;Aceptable Desmpeno
169;104;84;134;Aceptable Desmpeno
170;211;179;201;Buen Desempeno
151;141;113;132;Aceptable Desmpeno
134;122;144;183;Aceptable Desmpeno
180;152;152;151;Buen Desempeno
171;177;146;173;Buen Desempeno
202;178;179;128;Buen Desempeno
177;170;159;191;Buen Desempeno
142;150;166;179;Buen Desempeno
204;143;149;143;Buen Desempeno
99;84;112;196;Aceptable Desmpeno
140;159;113;170;Aceptable Desmpeno
156;170;158;198;Buen Desempeno
174;131;134;155;Buen Desempeno
193;165;159;153;Buen Desempeno
139;133;117;143;Aceptable Desmpeno
201;172;190;144;Buen Desempeno
195;173;167;173;Buen Desempeno
157;144;86;178;Aceptable Desmpeno
164;176;190;161;Buen Desempeno
123;77;103;165;Aceptable Desmpeno
179;167;111;119;Aceptable Desmpeno
137;144;104;88;Aceptable Desmpeno
146;146;131;166;Buen Desempeno
175;154;156;179;Buen Desempeno
129;177;168;178;Buen Desempeno
198;207;221;216;Excelente Desempeno
172;129;185;172;Buen Desempeno
165;145;148;161;Buen Desempeno
138;108;156;173;Aceptable Desmpeno
143;184;139;187;Buen Desempeno
136;137;111;138;Aceptable Desmpeno
146;138;137;203;Buen Desempeno
141;139;98;88;Aceptable Desmpeno
161;194;181;203;Buen Desempeno
190;163;172;155;Buen Desempeno
163;143;89;178;Aceptable Desmpeno
115;134;152;155;Aceptable Desmpeno
183;178;186;174;Buen Desempeno
158;156;156;163;Buen Desempeno
144;184;165;160;Buen Desempeno
198;194;195;183;Buen Desempeno
182;185;184;189;Buen Desempeno
202;188;194;194;Buen Desempeno
112;104;111;132;Aceptable Desmpeno
160;188;133;196;Buen Desempeno
119;190;149;178;Buen Desempeno
131;124;114;186;Aceptable Desmpeno
167;166;177;155;Buen Desempeno
127;138;122;178;Aceptable Desmpeno
160;172;165;160;Buen Desempeno
79;125;114;168;Aceptable Desmpeno
147;143;100;146;Aceptable Desmpeno
103;85;83;137;Regular Desempeno
164;161;168;174;Buen Desempeno
166;179;179;155;Buen Desempeno
155;91;127;154;Aceptable Desmpeno
142;137;161;132;Aceptable Desmpeno
157;164;158;148;Buen Desempeno
106;105;124;143;Aceptable Desmpeno
153;127;106;153;Aceptable Desmpeno
148;171;142;142;Buen Desempeno
132;127;106;141;Aceptable Desmpeno
177;177;133;202;Buen Desempeno
190;154;176;193;Buen Desempeno
176;143;116;176;Buen Desempeno
182;154;192;159;Buen Desempeno
153;171;182;175;Buen Desempeno
147;168;143;187;Buen Desempeno
143;156;153;182;Buen Desempeno
157;155;167;197;Buen Desempeno
159;153;179;177;Buen Desempeno
132;131;144;153;Aceptable Desmpeno
182;184;171;166;Buen Desempeno
167;116;121;157;Aceptable Desmpeno
168;146;125;195;Buen Desempeno
172;199;184;156;Buen Desempeno
187;127;194;179;Buen Desempeno
178;133;83;210;Buen Desempeno
179;146;176;185;Buen Desempeno
170;166;150;165;Buen Desempeno
147;133;131;157;Aceptable Desmpeno
165;151;169;167;Buen Desempeno
137;126;143;202;Buen Desempeno
115;154;128;157;Aceptable Desmpeno
177;152;77;160;Aceptable Desmpeno
155;164;152;147;Buen Desempeno
174;152;154;155;Buen Desempeno
134;147;159;167;Buen Desempeno
162;162;159;172;Buen Desempeno
188;181;142;161;Buen Desempeno
156;103;133;153;Aceptable Desmpeno
173;106;138;146;Aceptable Desmpeno
140;108;121;152;Aceptable Desmpeno
192;147;146;174;Buen Desempeno
146;138;142;137;Aceptable Desmpeno
154;142;100;143;Aceptable Desmpeno
156;155;189;197;Buen Desempeno
148;142;111;155;Aceptable Desmpeno
167;141;147;171;Buen Desempeno
155;163;155;179;Buen Desempeno
212;172;212;183;Buen Desempeno
134;112;131;179;Aceptable Desmpeno
125;154;161;147;Aceptable Desmpeno
159;137;129;141;Aceptable Desmpeno
182;177;112;186;Buen Desempeno
148;119;114;204;Aceptable Desmpeno
169;153;162;202;Buen Desempeno
179;192;184;187;Buen Desempeno
141;154;178;141;Buen Desempeno
164;148;162;169;Buen Desempeno
177;220;207;183;Buen Desempeno
183;194;181;185;Buen Desempeno
144;175;167;164;Buen Desempeno
173;192;176;165;Buen Desempeno
120;159;159;182;Buen Desempeno
131;164;161;162;Buen Desempeno
143;145;155;135;Aceptable Desmpeno
134;180;164;204;Buen Desempeno
173;159;152;171;Buen Desempeno
86;191;169;183;Buen Desempeno
134;129;130;186;Aceptable Desmpeno
105;130;97;138;Aceptable Desmpeno
142;140;81;160;Aceptable Desmpeno
182;179;176;175;Buen Desempeno
147;114;123;177;Aceptable Desmpeno
172;182;154;181;Buen Desempeno
154;170;154;179;Buen Desempeno
160;170;166;174;Buen Desempeno
162;158;149;180;Buen Desempeno
143;155;191;194;Buen Desempeno
142;134;96;149;Aceptable Desmpeno
169;142;85;107;Aceptable Desmpeno
178;159;168;196;Buen Desempeno
127;115;91;134;Aceptable Desmpeno
165;120;133;161;Aceptable Desmpeno
138;117;121;128;Aceptable Desmpeno
130;129;117;140;Aceptable Desmpeno
130;143;139;134;Aceptable Desmpeno
166;140;147;185;Buen Desempeno
152;162;146;107;Aceptable Desmpeno
131;67;103;135;Regular Desempeno
172;167;169;186;Buen Desempeno
112;109;143;138;Aceptable Desmpeno
181;176;199;182;Buen Desempeno
139;130;129;157;Aceptable Desmpeno
168;147;135;149;Buen Desempeno
147;165;166;146;Buen Desempeno
165;168;172;163;Buen Desempeno
175;168;114;191;Buen Desempeno
116;146;162;150;Aceptable Desmpeno
134;161;142;164;Buen Desempeno
145;172;214;153;Buen Desempeno
155;192;174;190;Buen Desempeno
110;149;152;119;Aceptable Desmpeno
124;149;135;118;Aceptable Desmpeno
144;160;174;170;Buen Desempeno
85;122;132;147;Aceptable Desmpeno
107;180;162;147;Buen Desempeno
139;115;108;123;Aceptable Desmpeno
162;136;191;182;Buen Desempeno
165;172;144;132;Buen Desempeno
155;170;178;171;Buen Desempeno
119;144;131;149;Aceptable Desmpeno
180;199;177;173;Buen Desempeno
130;145;128;96;Aceptable Desmpeno
141;175;188;135;Buen Desempeno
142;165;172;131;Buen Desempeno
143;189;207;180;Buen Desempeno
169;177;175;150;Buen Desempeno
107;151;161;126;Aceptable Desmpeno
152;186;185;187;Buen Desempeno
121;130;120;125;Aceptable Desmpeno
138;159;158;160;Buen Desempeno
154;200;211;203;Buen Desempeno
92;116;106;108;Regular Desempeno
145;146;169;156;Buen Desempeno
130;137;123;151;Aceptable Desmpeno
126;102;134;131;Aceptable Desmpeno
110;149;191;142;Buen Desempeno
135;203;155;166;Buen Desempeno
153;199;196;186;Buen Desempeno
121;139;168;154;Aceptable Desmpeno
134;143;112;79;Aceptable Desmpeno
113;123;188;152;Aceptable Desmpeno
139;165;147;151;Buen Desempeno
143;168;188;174;Buen Desempeno
101;180;205;198;Buen Desempeno
183;156;175;113;Buen Desempeno
133;126;138;145;Aceptable Desmpeno
127;173;202;160;Buen Desempeno
108;107;114;125;Aceptable Desmpeno
108;186;202;154;Buen Desempeno
133;152;171;172;Buen Desempeno
132;213;115;187;Buen Desempeno
105;153;138;154;Aceptable Desmpeno
137;123;110;189;Aceptable Desmpeno
110;137;144;151;Aceptable Desmpeno
113;139;131;145;Aceptable Desmpeno
101;151;82;157;Aceptable Desmpeno
116;162;186;166;Buen Desempeno
100;122;103;148;Aceptable Desmpeno
117;124;158;161;Aceptable Desmpeno
152;172;171;146;Buen Desempeno
113;143;145;143;Aceptable Desmpeno
112;162;152;191;Buen Desempeno
177;172;192;180;Buen Desempeno
149;164;168;169;Buen Desempeno
90;139;152;150;Aceptable Desmpeno
96;182;167;193;Buen Desempeno
134;153;171;177;Buen Desempeno
132;148;162;151;Buen Desempeno
161;147;170;172;Buen Desempeno
138;172;183;143;Buen Desempeno
128;169;147;102;Aceptable Desmpeno
155;171;187;103;Buen Desempeno
108;112;77;135;Regular Desempeno
101;197;191;176;Buen Desempeno
109;182;165;166;Buen Desempeno
109;141;157;149;Aceptable Desmpeno
173;139;111;132;Aceptable Desmpeno
142;144;119;148;Aceptable Desmpeno
158;180;179;159;Buen Desempeno
127;149;158;143;Aceptable Desmpeno
156;167;197;168;Buen Desempeno
175;200;170;180;Buen Desempeno
151;189;204;184;Buen Desempeno
168;183;162;158;Buen Desempeno
138;183;177;148;Buen Desempeno
123;133;167;157;Aceptable Desmpeno
145;160;183;168;Buen Desempeno
117;146;146;154;Aceptable Desmpeno
92;185;209;182;Buen Desempeno
151;160;154;149;Buen Desempeno
135;156;153;185;Buen Desempeno
159;210;183;197;Buen Desempeno
151;175;185;168;Buen Desempeno
165;190;191;197;Buen Desempeno
199;195;177;197;Buen Desempeno
158;207;190;183;Buen Desempeno
164;172;124;119;Aceptable Desmpeno
149;189;151;168;Buen Desempeno
113;130;115;141;Aceptable Desmpeno
151;167;170;140;Buen Desempeno
105;143;149;145;Aceptable Desmpeno
158;161;168;153;Buen Desempeno
121;93;105;120;Regular Desempeno
149;189;184;165;Buen Desempeno
130;172;169;201;Buen Desempeno
96;125;114;133;Aceptable Desmpeno
128;162;158;168;Buen Desempeno
148;181;155;154;Buen Desempeno
118;99;149;127;Aceptable Desmpeno
149;200;193;187;Buen Desempeno
125;162;158;159;Buen Desempeno
147;133;168;167;Buen Desempeno
106;144;105;134;Aceptable Desmpeno
185;152;137;155;Buen Desempeno
173;137;123;148;Aceptable Desmpeno
177;192;152;201;Buen Desempeno
177;182;153;173;Buen Desempeno
168;167;175;188;Buen Desempeno
201;125;187;178;Buen Desempeno
198;198;170;214;Buen Desempeno
177;144;128;165;Buen Desempeno
179;147;150;184;Buen Desempeno
200;142;142;183;Buen Desempeno
218;171;173;206;Buen Desempeno
184;172;177;209;Buen Desempeno
187;194;172;207;Buen Desempeno
193;180;167;187;Buen Desempeno
203;151;180;208;Buen Desempeno
173;186;164;197;Buen Desempeno
178;165;154;158;Buen Desempeno
200;135;115;201;Buen Desempeno
151;148;177;190;Buen Desempeno
164;179;137;178;Buen Desempeno
176;186;160;189;Buen Desempeno
203;177;189;199;Buen Desempeno
193;182;143;182;Buen Desempeno
213;213;162;208;Buen Desempeno
206;188;194;179;Buen Desempeno
214;202;168;212;Buen Desempeno
194;177;128;166;Buen Desempeno
181;165;164;163;Buen Desempeno
185;145;167;183;Buen Desempeno
169;163;161;170;Buen Desempeno
206;156;209;190;Buen Desempeno
181;136;100;164;Aceptable Desmpeno
154;133;65;151;Aceptable Desmpeno
172;144;152;174;Buen Desempeno
176;188;205;181;Buen Desempeno
220;183;181;196;Buen Desempeno
191;144;163;209;Buen Desempeno
168;134;125;165;Buen Desempeno
203;157;174;159;Buen Desempeno
178;146;142;170;Buen Desempeno
155;170;174;183;Buen Desempeno
178;190;189;168;Buen Desempeno
202;205;188;190;Buen Desempeno
206;142;125;194;Buen Desempeno
166;134;83;155;Aceptable Desmpeno
211;147;143;168;Buen Desempeno
150;160;178;188;Buen Desempeno
136;137;92;146;Aceptable Desmpeno
120;105;114;138;Aceptable Desmpeno
141;120;115;133;Aceptable Desmpeno
181;184;170;157;Buen Desempeno
173;161;131;126;Buen Desempeno
148;155;122;144;Aceptable Desmpeno
132;148;130;167;Aceptable Desmpeno
115;114;124;117;Aceptable Desmpeno
163;151;108;126;Aceptable Desmpeno
116;115;120;134;Aceptable Desmpeno
208;182;158;173;Buen Desempeno
111;103;108;133;Aceptable Desmpeno
179;164;146;135;Buen Desempeno
139;153;131;83;Aceptable Desmpeno
137;186;148;169;Buen Desempeno
137;153;138;178;Buen Desempeno
146;147;86;150;Aceptable Desmpeno
167;139;118;117;Aceptable Desmpeno
200;220;202;174;Buen Desempeno
168;162;159;163;Buen Desempeno
190;194;166;169;Buen Desempeno
165;151;126;153;Buen Desempeno
109;100;138;122;Aceptable Desmpeno
160;178;174;125;Buen Desempeno
152;138;108;141;Aceptable Desmpeno
162;130;0;172;Aceptable Desmpeno
98;105;118;126;Aceptable Desmpeno
163;182;157;139;Buen Desempeno
164;178;172;173;Buen Desempeno
124;104;134;121;Aceptable Desmpeno
146;140;140;131;Aceptable Desmpeno
142;132;117;107;Aceptable Desmpeno
176;172;121;173;Buen Desempeno
141;170;154;143;Buen Desempeno
170;122;101;131;Aceptable Desmpeno
140;98;108;133;Aceptable Desmpeno
155;153;151;146;Buen Desempeno
76;114;137;116;Aceptable Desmpeno
152;121;110;138;Aceptable Desmpeno
120;119;105;153;Aceptable Desmpeno
179;160;157;156;Buen Desempeno
169;151;159;174;Buen Desempeno
203;155;166;182;Buen Desempeno
147;151;96;155;Aceptable Desmpeno
123;119;116;119;Aceptable Desmpeno
162;146;143;122;Aceptable Desmpeno
126;113;104;93;Regular Desempeno
207;157;168;159;Buen Desempeno
211;211;204;179;Buen Desempeno
121;153;135;138;Aceptable Desmpeno
126;128;145;135;Aceptable Desmpeno
158;168;139;184;Buen Desempeno
135;183;116;167;Buen Desempeno
146;102;129;137;Aceptable Desmpeno
162;149;162;147;Buen Desempeno
140;183;178;164;Buen Desempeno
179;213;146;133;Buen Desempeno
201;126;161;158;Buen Desempeno
144;129;154;126;Aceptable Desmpeno
141;134;121;137;Aceptable Desmpeno
